Drug 1,Drug 2,Interaction Description
Dimenhydrinate,Tetrabenazine,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Tetrabenazine.
Propafenone,Famotidine,Propafenone may increase the QTc-prolonging activities of Famotidine.
Telithromycin,Famotidine,Telithromycin may increase the QTc-prolonging activities of Famotidine.
Esomeprazole,Mesalazine,The therapeutic efficacy of Mesalazine can be decreased when used in combination with Esomeprazole.
Repaglinide,Methyl salicylate,Repaglinide may increase the hypoglycemic activities of Methyl salicylate.
Icosapent ethyl,Methyl salicylate,The risk or severity of adverse effects can be increased when Icosapent ethyl is combined with Methyl salicylate.
Cortisone acetate,Testosterone propionate,Cortisone acetate may increase the fluid retaining activities of Testosterone propionate.
Metamfetamine,Magnesium hydroxide,Metamfetamine may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.
Flecainide,Lactic acid,The serum concentration of Lactic acid can be increased when it is combined with Flecainide.
Aluminium,Bisacodyl,The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Aluminium.
Cortisone acetate,Gatifloxacin,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Gatifloxacin.
Olopatadine,Cortisone acetate,The risk or severity of adverse effects can be increased when Olopatadine is combined with Cortisone acetate.
Oxyphenbutazone,Cortisone acetate,The risk or severity of adverse effects can be increased when Oxyphenbutazone is combined with Cortisone acetate.
Magnesium salicylate,Cortisone acetate,The risk or severity of adverse effects can be increased when Magnesium salicylate is combined with Cortisone acetate.
Salicylic acid,Fluticasone propionate,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Fluticasone propionate.
Tranylcypromine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Fluticasone propionate.
Pentazocine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Pentazocine is combined with Fluticasone propionate.
Olanzapine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Olanzapine is combined with Fluticasone propionate.
Magaldrate,Fluticasone propionate,The bioavailability of Fluticasone propionate can be decreased when combined with Magaldrate.
Entacapone,Fluticasone propionate,The risk or severity of adverse effects can be increased when Entacapone is combined with Fluticasone propionate.
Molindone,Fluticasone propionate,The risk or severity of adverse effects can be increased when Molindone is combined with Fluticasone propionate.
Methyl salicylate,Prednicarbate,The risk or severity of adverse effects can be increased when Methyl salicylate is combined with Prednicarbate.
Omeprazole,Tiludronic acid,The therapeutic efficacy of Tiludronic acid can be decreased when used in combination with Omeprazole.
Ibuprofen,Niflumic acid,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Niflumic acid.
Edoxaban,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Edoxaban.
Bromocriptine,Hydrocortisone,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Hydrocortisone.
Suprofen,Hydrocortisone,The risk or severity of adverse effects can be increased when Suprofen is combined with Hydrocortisone.
Salicylic acid,Estrone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Estrone.
Salicylic acid,Betamethasone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Betamethasone.
Magnesium hydroxide,Fluocortolone,The bioavailability of Fluocortolone can be decreased when combined with Magnesium hydroxide.
Sodium bicarbonate,Fluocortolone,The bioavailability of Fluocortolone can be decreased when combined with Sodium bicarbonate.
Salicylic acid,Desonide,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Desonide.
Magnesium hydroxide,Zoledronic acid,The serum concentration of Zoledronic acid can be decreased when it is combined with Magnesium hydroxide.
Nicotine,Haloperidol,The metabolism of Haloperidol can be decreased when combined with Nicotine.
Salicylic acid,Dexamethasone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Dexamethasone.
Methyl salicylate,Triamcinolone,The risk or severity of adverse effects can be increased when Methyl salicylate is combined with Triamcinolone.
Esomeprazole,Risedronic acid,The therapeutic efficacy of Risedronic acid can be decreased when used in combination with Esomeprazole.
Omeprazole,Risedronic acid,The therapeutic efficacy of Risedronic acid can be decreased when used in combination with Omeprazole.
Omeprazole,Erythromycin,The metabolism of Erythromycin can be decreased when combined with Omeprazole.
Etoposide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Etoposide.
Methyltestosterone,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Methyltestosterone.
Cobimetinib,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Cobimetinib.
Ledipasvir,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Ledipasvir.
Oxaprozin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Oxaprozin.
Apixaban,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Apixaban.
Rizatriptan,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Rizatriptan.
Riluzole,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Riluzole.
Trimethoprim,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Trimethoprim.
Velpatasvir,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Velpatasvir.
Brexpiprazole,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Brexpiprazole.
Clofibrate,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Clofibrate.
Lidocaine,Olaparib,The metabolism of Olaparib can be decreased when combined with Lidocaine.
Nicotine,Olaparib,The metabolism of Olaparib can be decreased when combined with Nicotine.
Acetaminophen,Delavirdine,The metabolism of Delavirdine can be decreased when combined with Acetaminophen.
Esomeprazole,Bortezomib,The metabolism of Bortezomib can be decreased when combined with Esomeprazole.
Phenytoin,Nicotine,The metabolism of Nicotine can be increased when combined with Phenytoin.
Metipranolol,Nicotine,The risk or severity of adverse effects can be increased when Metipranolol is combined with Nicotine.
Memantine,Nicotine,The risk or severity of adverse effects can be increased when Memantine is combined with Nicotine.
Fluticasone propionate,Nelfinavir,The serum concentration of Nelfinavir can be increased when it is combined with Fluticasone propionate.
Nicotine,Crizotinib,The metabolism of Crizotinib can be decreased when combined with Nicotine.
Loratadine,Mifepristone,The serum concentration of Mifepristone can be increased when it is combined with Loratadine.
Acetaminophen,Ivacaftor,The serum concentration of Ivacaftor can be increased when it is combined with Acetaminophen.
Loratadine,Osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Loratadine.
Caffeine,Simeprevir,The serum concentration of Simeprevir can be increased when it is combined with Caffeine.
Nicotine,Palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Nicotine.
Nicotine,Aprepitant,The serum concentration of Aprepitant can be increased when it is combined with Nicotine.
Salicylic acid,Oxaprozin,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Oxaprozin.
Lithium cation,Salicylic acid,The serum concentration of Salicylic acid can be increased when it is combined with Lithium cation.
Doxorubicin,Ibuprofen,Doxorubicin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.
Paromomycin,Ibuprofen,Paromomycin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.
Fenoprofen,Ibuprofen,The risk or severity of adverse effects can be increased when Fenoprofen is combined with Ibuprofen.
Sacubitril,Ibuprofen,The risk or severity of adverse effects can be increased when Sacubitril is combined with Ibuprofen.
Acetaminophen,Nicardipine,The metabolism of Nicardipine can be decreased when combined with Acetaminophen.
Acetaminophen,Clobazam,The metabolism of Clobazam can be decreased when combined with Acetaminophen.
Loratadine,Bupropion,The metabolism of Bupropion can be decreased when combined with Loratadine.
Famotidine,Moclobemide,The metabolism of Moclobemide can be decreased when combined with Famotidine.
Pazopanib,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Pazopanib.
Amprenavir,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Amprenavir.
Methoxyflurane,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Methoxyflurane.
Propofol,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Propofol.
Lorcaserin,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Lorcaserin.
Omeprazole,Crisaborole,The metabolism of Crisaborole can be decreased when combined with Omeprazole.
Famotidine,Etravirine,The metabolism of Etravirine can be decreased when combined with Famotidine.
Loratadine,Fluorouracil,The metabolism of Fluorouracil can be decreased when combined with Loratadine.
Omeprazole,Erlotinib,The serum concentration of Erlotinib can be decreased when it is combined with Omeprazole.
Omeprazole,Saxagliptin,The serum concentration of Saxagliptin can be decreased when it is combined with Omeprazole.
Ibuprofen,Vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Ibuprofen.
Amlodipine,Nitroglycerin,The risk or severity of adverse effects can be increased when Amlodipine is combined with Nitroglycerin.
Halothane,Minoxidil,The risk or severity of adverse effects can be increased when Halothane is combined with Minoxidil.
Cisapride,Tolnaftate,The serum concentration of Tolnaftate can be increased when it is combined with Cisapride.
Benzocaine,Magnesium sulfate,Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Magnesium sulfate.
Lidocaine,Magnesium sulfate,Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Magnesium sulfate.
Benzocaine,Meclizine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Meclizine.
Dimenhydrinate,Clonazepam,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Clonazepam.
Everolimus,Benzocaine,The serum concentration of Benzocaine can be increased when it is combined with Everolimus.
Doxorubicin,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Doxorubicin.
Pergolide,Loratadine,The risk or severity of adverse effects can be increased when Pergolide is combined with Loratadine.
Amphetamine,Loratadine,Amphetamine may decrease the sedative activities of Loratadine.
Benzocaine,Flunarizine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Flunarizine.
Naloxegol,Lidocaine,The serum concentration of Lidocaine can be increased when it is combined with Naloxegol.
Leflunomide,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Leflunomide.
Flunarizine,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Flunarizine.
Nitrous oxide,Lidocaine,The risk or severity of adverse effects can be increased when Nitrous oxide is combined with Lidocaine.
Bosutinib,Acetaminophen,The serum concentration of Acetaminophen can be increased when it is combined with Bosutinib.
Ixazomib,Caffeine,The metabolism of Caffeine can be decreased when combined with Ixazomib.
Acetaminophen,Caffeine,The metabolism of Caffeine can be decreased when combined with Acetaminophen.
Alosetron,Caffeine,The metabolism of Caffeine can be decreased when combined with Alosetron.
Nitroglycerin,Udenafil,Nitroglycerin may increase the vasodilatory activities of Udenafil.
Benzocaine,Lithium cation,The risk or severity of adverse effects can be increased when Benzocaine is combined with Lithium cation.
Quinine,Famotidine,Quinine may increase the QTc-prolonging activities of Famotidine.
Citalopram,Famotidine,Citalopram may increase the QTc-prolonging activities of Famotidine.
Asenapine,Famotidine,Asenapine may increase the QTc-prolonging activities of Famotidine.
Clozapine,Famotidine,Clozapine may increase the QTc-prolonging activities of Famotidine.
Fluticasone propionate,Minaprine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Minaprine.
Minoxidil,Lofexidine,Minoxidil may increase the hypotensive activities of Lofexidine.
Ticagrelor,Methyl salicylate,The risk or severity of adverse effects can be increased when Ticagrelor is combined with Methyl salicylate.
Dasatinib,Calcium carbonate,Dasatinib can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Vecuronium,Magnesium hydroxide,Vecuronium may increase the neuromuscular blocking activities of Magnesium hydroxide.
Enoxacin,Sodium bicarbonate,Enoxacin can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Mephentermine,Sodium bicarbonate,Mephentermine may decrease the excretion rate of Sodium bicarbonate which could result in a higher serum level.
Sodium bicarbonate,Clobetasol propionate,The bioavailability of Clobetasol propionate can be decreased when combined with Sodium bicarbonate.
Zileuton,Cortisone acetate,The risk or severity of adverse effects can be increased when Zileuton is combined with Cortisone acetate.
Benzydamine,Cortisone acetate,The risk or severity of adverse effects can be increased when Benzydamine is combined with Cortisone acetate.
Pitavastatin,Cortisone acetate,The serum concentration of Cortisone acetate can be increased when it is combined with Pitavastatin.
Magnesium trisilicate,Cortisone acetate,The bioavailability of Cortisone acetate can be decreased when combined with Magnesium trisilicate.
Oxaprozin,Fluticasone propionate,The risk or severity of adverse effects can be increased when Oxaprozin is combined with Fluticasone propionate.
Lithium cation,Fluticasone propionate,The risk or severity of adverse effects can be increased when Lithium cation is combined with Fluticasone propionate.
Pramocaine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Pramocaine is combined with Fluticasone propionate.
Ibuprofen,Desmopressin,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Desmopressin.
Magnesium hydroxide,Flumethasone,The bioavailability of Flumethasone can be decreased when combined with Magnesium hydroxide.
Magnesium hydroxide,Flurandrenolide,The bioavailability of Flurandrenolide can be decreased when combined with Magnesium hydroxide.
Epirizole,Hydrocortisone,The risk or severity of adverse effects can be increased when Epirizole is combined with Hydrocortisone.
Tolvaptan,Hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Tolvaptan.
Aminosalicylic acid,Hydrocortisone,The risk or severity of adverse effects can be increased when Aminosalicylic acid is combined with Hydrocortisone.
Calcium carbonate,Hydrocortisone,The bioavailability of Hydrocortisone can be decreased when combined with Calcium carbonate.
Salicylic acid,Medrysone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Medrysone.
Sodium bicarbonate,Difluocortolone,The bioavailability of Difluocortolone can be decreased when combined with Sodium bicarbonate.
Calcium carbonate,Halcinonide,The bioavailability of Halcinonide can be decreased when combined with Calcium carbonate.
Famotidine,Risedronic acid,Famotidine can cause an increase in the absorption of Risedronic acid resulting in an increased serum concentration and potentially a worsening of adverse effects.
Salicylic acid,Indapamide,The therapeutic efficacy of Indapamide can be decreased when used in combination with Salicylic acid.
Minoxidil,Latanoprost,Minoxidil may increase the hypotensive activities of Latanoprost.
Imiquimod,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Imiquimod.
Simvastatin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Simvastatin.
Rotigotine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Rotigotine.
Debrisoquine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Debrisoquine.
Esomeprazole,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Esomeprazole.
Trimethadione,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Trimethadione.
Niclosamide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Niclosamide.
Cortisone acetate,Doxycycline,The metabolism of Doxycycline can be decreased when combined with Cortisone acetate.
Bismuth subsalicylate,Doxycycline,The serum concentration of Doxycycline can be decreased when it is combined with Bismuth subsalicylate.
Cortisone acetate,Ketoconazole,The metabolism of Ketoconazole can be decreased when combined with Cortisone acetate.
Omeprazole,Clemastine,The metabolism of Clemastine can be decreased when combined with Omeprazole.
Acetaminophen,Venlafaxine,The metabolism of Venlafaxine can be decreased when combined with Acetaminophen.
Ascorbic acid,Bortezomib,The therapeutic efficacy of Bortezomib can be decreased when used in combination with Ascorbic acid.
Isoflurophate,Nicotine,The risk or severity of adverse effects can be increased when Isoflurophate is combined with Nicotine.
Esomeprazole,Fosamprenavir,The metabolism of Fosamprenavir can be decreased when combined with Esomeprazole.
Cortisone acetate,Nelfinavir,The metabolism of Nelfinavir can be decreased when combined with Cortisone acetate.
Omeprazole,Cobicistat,The metabolism of Cobicistat can be decreased when combined with Omeprazole.
Acetaminophen,Fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Acetaminophen.
Hydrocortisone,Verapamil,The metabolism of Verapamil can be decreased when combined with Hydrocortisone.
Esomeprazole,Telithromycin,The metabolism of Telithromycin can be decreased when combined with Esomeprazole.
Loratadine,Fusidic acid,The serum concentration of Fusidic acid can be increased when it is combined with Loratadine.
Caffeine,Dasatinib,The serum concentration of Dasatinib can be increased when it is combined with Caffeine.
Acetylsalicylic acid,Salicylic acid,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Salicylic acid.
Piroxicam,Salicylic acid,The risk or severity of adverse effects can be increased when Piroxicam is combined with Salicylic acid.
Phenobarbital,Ibuprofen,The metabolism of Ibuprofen can be increased when combined with Phenobarbital.
Streptozocin,Ibuprofen,Streptozocin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.
Acetylsalicylic acid,Ibuprofen,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Ibuprofen.
Lidocaine,Nicardipine,The metabolism of Nicardipine can be decreased when combined with Lidocaine.
Loratadine,Manidipine,The metabolism of Manidipine can be decreased when combined with Loratadine.
Benzocaine,Sertraline,The risk or severity of adverse effects can be increased when Benzocaine is combined with Sertraline.
Fluticasone propionate,Paroxetine,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Paroxetine.
Acetaminophen,Quinine,The metabolism of Quinine can be decreased when combined with Acetaminophen.
Caffeine,Cinacalcet,The metabolism of Cinacalcet can be decreased when combined with Caffeine.
Loratadine,Cinacalcet,The metabolism of Cinacalcet can be decreased when combined with Loratadine.
Caffeine,Lumefantrine,The metabolism of Lumefantrine can be decreased when combined with Caffeine.
Lidocaine,Terbinafine,The metabolism of Terbinafine can be decreased when combined with Lidocaine.
Clotrimazole,Ifosfamide,The serum concentration of the active metabolites of Ifosfamide can be reduced when Ifosfamide is used in combination with Clotrimazole resulting in a loss in efficacy.
Lidocaine,Topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Lidocaine.
Cilostazol,Omeprazole,The serum concentration of Omeprazole can be increased when it is combined with Cilostazol.
Mestranol,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Mestranol.
Glyburide,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Glyburide.
Acetaminophen,Zucapsaicin,The metabolism of Zucapsaicin can be decreased when combined with Acetaminophen.
Famotidine,Bosutinib,The serum concentration of Bosutinib can be decreased when it is combined with Famotidine.
Nicotine,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Nicotine.
Nicotine,Tegafur,The serum concentration of the active metabolites of Tegafur can be reduced when Tegafur is used in combination with Nicotine resulting in a loss in efficacy.
Nitroglycerin,Hydralazine,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Hydralazine.
Nitroglycerin,Eprosartan,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Eprosartan.
Minoxidil,Telmisartan,The risk or severity of adverse effects can be increased when Minoxidil is combined with Telmisartan.
Tranylcypromine,Nitroglycerin,The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Nitroglycerin.
Minoxidil,Triamterene,The risk or severity of adverse effects can be increased when Minoxidil is combined with Triamterene.
Chlorthalidone,Minoxidil,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Minoxidil.
Moclobemide,Minoxidil,Moclobemide may increase the hypotensive activities of Minoxidil.
Dimenhydrinate,Minocycline,Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Minocycline.
Lidocaine,Melperone,The risk or severity of adverse effects can be increased when Lidocaine is combined with Melperone.
Loratadine,Levocabastine,The risk or severity of adverse effects can be increased when Loratadine is combined with Levocabastine.
Lidocaine,Meclizine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Meclizine.
Gabapentin,Benzocaine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Benzocaine.
Perphenazine,Benzocaine,The risk or severity of adverse effects can be increased when Perphenazine is combined with Benzocaine.
Dapiprazole,Benzocaine,The risk or severity of adverse effects can be increased when Dapiprazole is combined with Benzocaine.
Promazine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Promazine is combined with Dimenhydrinate.
Sufentanil,Dimenhydrinate,The risk or severity of adverse effects can be increased when Sufentanil is combined with Dimenhydrinate.
Lormetazepam,Loratadine,The risk or severity of adverse effects can be increased when Lormetazepam is combined with Loratadine.
Fluphenazine,Loratadine,The risk or severity of adverse effects can be increased when Fluphenazine is combined with Loratadine.
Methocarbamol,Loratadine,The risk or severity of adverse effects can be increased when Methocarbamol is combined with Loratadine.
Pramocaine,Loratadine,The risk or severity of adverse effects can be increased when Pramocaine is combined with Loratadine.
Cinchocaine,Loratadine,The risk or severity of adverse effects can be increased when Cinchocaine is combined with Loratadine.
Quazepam,Loratadine,The risk or severity of adverse effects can be increased when Quazepam is combined with Loratadine.
Oxazepam,Loratadine,The risk or severity of adverse effects can be increased when Oxazepam is combined with Loratadine.
Tolnaftate,Nilvadipine,The risk or severity of adverse effects can be increased when Tolnaftate is combined with Nilvadipine.
Rifapentine,Lidocaine,The metabolism of Lidocaine can be increased when combined with Rifapentine.
Ibutilide,Lidocaine,Ibutilide may increase the arrhythmogenic activities of Lidocaine.
Methotrimeprazine,Lidocaine,Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.
Estazolam,Lidocaine,The risk or severity of adverse effects can be increased when Estazolam is combined with Lidocaine.
Midazolam,Lidocaine,The risk or severity of adverse effects can be increased when Midazolam is combined with Lidocaine.
Doxepin,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Doxepin.
Clotrimazole,Azelnidipine,The risk or severity of adverse effects can be increased when Clotrimazole is combined with Azelnidipine.
Primidone,Caffeine,The metabolism of Caffeine can be increased when combined with Primidone.
Imipramine,Caffeine,The metabolism of Caffeine can be decreased when combined with Imipramine.
Levofloxacin,Famotidine,Levofloxacin may increase the QTc-prolonging activities of Famotidine.
Varenicline,Famotidine,The serum concentration of Famotidine can be increased when it is combined with Varenicline.
Fluoxetine,Famotidine,Fluoxetine may increase the QTc-prolonging activities of Famotidine.
Escitalopram,Famotidine,Escitalopram may increase the QTc-prolonging activities of Famotidine.
Primaquine,Famotidine,Primaquine may increase the QTc-prolonging activities of Famotidine.
Cefuroxime,Famotidine,Cefuroxime can cause a decrease in the absorption of Famotidine resulting in a reduced serum concentration and potentially a decrease in efficacy.
Cortisone acetate,Malathion,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Malathion.
Calcium carbonate,Mesalazine,The therapeutic efficacy of Mesalazine can be decreased when used in combination with Calcium carbonate.
Perindopril,Methyl salicylate,Perindopril may decrease the antihypertensive activities of Methyl salicylate.
Edetic acid,Methyl salicylate,Edetic acid may increase the anticoagulant activities of Methyl salicylate.
Vorapaxar,Methyl salicylate,The risk or severity of adverse effects can be increased when Vorapaxar is combined with Methyl salicylate.
Trapidil,Methyl salicylate,The risk or severity of adverse effects can be increased when Trapidil is combined with Methyl salicylate.
Ibudilast,Methyl salicylate,The risk or severity of adverse effects can be increased when Ibudilast is combined with Methyl salicylate.
Milrinone,Methyl salicylate,The risk or severity of adverse effects can be increased when Milrinone is combined with Methyl salicylate.
Fluticasone propionate,Fluoxymesterone,Fluticasone propionate may increase the fluid retaining activities of Fluoxymesterone.
Cortisone acetate,Pyridostigmine,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Pyridostigmine.
Tibolone,Ascorbic acid,The serum concentration of Ascorbic acid can be increased when it is combined with Tibolone.
Gemifloxacin,Calcium carbonate,Gemifloxacin can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Chlorpromazine,Calcium carbonate,Chlorpromazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Hydroxyamphetamine,Calcium carbonate,Hydroxyamphetamine may decrease the excretion rate of Calcium carbonate which could result in a higher serum level.
Periciazine,Calcium carbonate,Periciazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Mesoridazine,Magnesium hydroxide,Mesoridazine can cause a decrease in the absorption of Magnesium hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.
Cinoxacin,Sodium bicarbonate,Cinoxacin can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Omeprazole,Cysteamine,The therapeutic efficacy of Cysteamine can be decreased when used in combination with Omeprazole.
Ascorbic acid,Deferoxamine,The risk or severity of adverse effects can be increased when Ascorbic acid is combined with Deferoxamine.
Cortisone acetate,Levofloxacin,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Levofloxacin.
Hydrocortisone,Enoxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Enoxacin.
Primidone,Cortisone acetate,The metabolism of Cortisone acetate can be increased when combined with Primidone.
Olsalazine,Cortisone acetate,The risk or severity of adverse effects can be increased when Olsalazine is combined with Cortisone acetate.
Warfarin,Cortisone acetate,Warfarin may increase the anticoagulant activities of Cortisone acetate.
Nafamostat,Cortisone acetate,The risk or severity of adverse effects can be increased when Nafamostat is combined with Cortisone acetate.
Tacrolimus,Cortisone acetate,The risk or severity of adverse effects can be increased when Tacrolimus is combined with Cortisone acetate.
Salicylic acid,Desoximetasone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Desoximetasone.
Carbamazepine,Fluticasone propionate,The metabolism of Fluticasone propionate can be increased when combined with Carbamazepine.
Lumacaftor,Fluticasone propionate,The metabolism of Fluticasone propionate can be increased when combined with Lumacaftor.
Olsalazine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Olsalazine is combined with Fluticasone propionate.
Ketorolac,Fluticasone propionate,The risk or severity of adverse effects can be increased when Ketorolac is combined with Fluticasone propionate.
Methylergometrine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Methylergometrine is combined with Fluticasone propionate.
Ibuprofen,Fludrocortisone,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Fludrocortisone.
Calcium carbonate,Fluprednidene,The bioavailability of Fluprednidene can be decreased when combined with Calcium carbonate.
Magnesium hydroxide,Dexamethasone,The bioavailability of Dexamethasone can be decreased when combined with Magnesium hydroxide.
Ibuprofen,Alclometasone,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Alclometasone.
Calcium carbonate,Ibandronate,The serum concentration of Ibandronate can be decreased when it is combined with Calcium carbonate.
Salicylic acid,Lubiprostone,The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Salicylic acid.
Nitroglycerin,Indapamide,The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Indapamide.
Nicotine,Cyclosporine,The metabolism of Cyclosporine can be decreased when combined with Nicotine.
Betaxolol,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Betaxolol.
Teniposide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Teniposide.
Bosutinib,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Bosutinib.
Triamcinolone,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Triamcinolone.
Apremilast,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Apremilast.
Domperidone,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Domperidone.
Dexlansoprazole,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Dexlansoprazole.
Amoxicillin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Amoxicillin.
Paritaprevir,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Paritaprevir.
Calcitriol,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Calcitriol.
Magnesium hydroxide,Ketoconazole,The serum concentration of Ketoconazole can be decreased when it is combined with Magnesium hydroxide.
Acetaminophen,Clemastine,The metabolism of Clemastine can be decreased when combined with Acetaminophen.
Benzocaine,Venlafaxine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Venlafaxine.
Caffeine,Atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Caffeine.
Esomeprazole,Ticlopidine,The metabolism of Ticlopidine can be decreased when combined with Esomeprazole.
Hydrocortisone,Delavirdine,The metabolism of Delavirdine can be decreased when combined with Hydrocortisone.
Mitoxantrone,Nicotine,The metabolism of Nicotine can be decreased when combined with Mitoxantrone.
Dalfampridine,Nicotine,The metabolism of Nicotine can be decreased when combined with Dalfampridine.
